time,total_band_width
2024-05-01 14:35:00,3504
2024-05-01 14:40:00,3801
2024-05-01 14:45:00,3485
2024-05-01 14:50:00,4551
2024-05-01 14:55:00,3209
2024-05-01 15:00:00,3319
2024-05-01 15:05:00,3292
2024-05-01 15:10:00,3670
2024-05-01 15:15:00,4694
2024-05-01 15:20:00,2971
2024-05-01 15:25:00,3407
2024-05-01 15:30:00,2986
2024-05-01 15:35:00,2941
2024-05-01 15:40:00,2934
2024-05-01 15:45:00,2417
2024-05-01 15:50:00,2479
2024-05-01 15:55:00,2732
2024-05-01 16:00:00,3431
2024-05-01 16:05:00,3058
2024-05-01 16:10:00,3057
2024-05-01 16:15:00,3029
2024-05-01 16:20:00,2359
2024-05-01 16:25:00,3171
2024-05-01 16:30:00,2408
2024-05-01 16:35:00,3025
2024-05-01 16:40:00,2702
2024-05-01 16:45:00,3268
2024-05-01 16:50:00,2959
2024-05-01 16:55:00,2570
2024-05-01 17:00:00,2417
2024-05-01 17:05:00,3097
2024-05-01 17:10:00,2916
2024-05-01 17:15:00,3601
2024-05-01 17:20:00,2697
2024-05-01 17:25:00,3035
2024-05-01 17:30:00,2539
2024-05-01 17:35:00,2793
2024-05-01 17:40:00,2651
2024-05-01 17:45:00,2733
2024-05-01 17:50:00,2185
2024-05-01 17:55:00,2652
2024-05-01 18:00:00,2819
2024-05-01 18:05:00,3421
2024-05-01 18:10:00,2734
2024-05-01 18:15:00,2929
2024-05-01 18:20:00,3356
2024-05-01 18:25:00,3122
2024-05-01 18:30:00,2022
2024-05-01 18:35:00,2611
2024-05-01 18:40:00,2976
2024-05-01 18:45:00,2816
2024-05-01 18:50:00,2109
2024-05-01 18:55:00,2377
2024-05-01 19:00:00,2026
2024-05-01 19:05:00,3444
2024-05-01 19:10:00,2358
2024-05-01 19:15:00,3076
2024-05-01 19:20:00,1428
2024-05-01 19:25:00,2626
2024-05-01 19:30:00,3522
2024-05-01 19:35:00,2709
2024-05-01 19:40:00,2399
2024-05-01 19:45:00,2364
2024-05-01 19:50:00,2099
2024-05-01 19:55:00,3088
2024-05-01 20:00:00,3057
2024-05-01 20:05:00,2831
2024-05-01 20:10:00,2420
2024-05-01 20:15:00,3887
2024-05-01 20:20:00,3127
2024-05-01 20:25:00,2789
2024-05-01 20:30:00,2592
2024-05-01 20:35:00,2768
2024-05-01 20:40:00,3727
2024-05-01 20:45:00,3332
2024-05-01 20:50:00,3831
2024-05-01 20:55:00,2561
2024-05-01 21:00:00,3225
2024-05-01 21:05:00,3496
2024-05-01 21:10:00,4382
2024-05-01 21:15:00,4028
2024-05-01 21:20:00,2607
2024-05-01 21:25:00,3063
2024-05-01 21:30:00,2694
2024-05-01 21:35:00,3928
2024-05-01 21:40:00,3331
2024-05-01 21:45:00,3444
2024-05-01 21:50:00,3368
2024-05-01 21:55:00,4387
2024-05-01 22:00:00,4977
2024-05-01 22:05:00,3350
2024-05-01 22:10:00,3087
2024-05-01 22:15:00,3747
2024-05-01 22:20:00,3307
2024-05-01 22:25:00,4118
2024-05-01 22:30:00,3650
2024-05-01 22:35:00,4118
2024-05-01 22:40:00,3227
2024-05-01 22:45:00,3651
2024-05-01 22:50:00,4211
2024-05-01 22:55:00,3658
2024-05-01 23:00:00,3660
2024-05-01 23:05:00,3933
2024-05-01 23:10:00,4754
2024-05-01 23:15:00,4938
2024-05-01 23:20:00,4975
2024-05-01 23:25:00,3933
2024-05-01 23:30:00,5538
2024-05-01 23:35:00,4581
2024-05-01 23:40:00,4738
2024-05-01 23:45:00,4500
2024-05-01 23:50:00,5675
2024-05-01 23:55:00,5198
2024-05-02 00:00:00,4797
2024-05-02 00:05:00,3388
2024-05-02 00:10:00,4468
2024-05-02 00:15:00,4334
2024-05-02 00:20:00,3237
2024-05-02 00:25:00,4128
2024-05-02 00:30:00,3057
2024-05-02 00:35:00,4435
2024-05-02 00:40:00,3814
2024-05-02 00:45:00,3775
2024-05-02 00:50:00,4355
2024-05-02 00:55:00,3586
2024-05-02 01:00:00,4541
2024-05-02 01:05:00,4486
2024-05-02 01:10:00,4530
2024-05-02 01:15:00,4642
2024-05-02 01:20:00,3911
2024-05-02 01:25:00,4212
2024-05-02 01:30:00,5164
2024-05-02 01:35:00,4508
2024-05-02 01:40:00,4630
2024-05-02 01:45:00,4715
2024-05-02 01:50:00,5020
2024-05-02 01:55:00,5623
2024-05-02 02:00:00,4537
2024-05-02 02:05:00,4233
2024-05-02 02:10:00,5413
2024-05-02 02:15:00,5568
2024-05-02 02:20:00,5252
2024-05-02 02:25:00,5204
2024-05-02 02:30:00,4638
2024-05-02 02:35:00,5305
2024-05-02 02:40:00,4288
2024-05-02 02:45:00,5227
2024-05-02 02:50:00,5268
2024-05-02 02:55:00,4688
2024-05-02 03:00:00,4390
2024-05-02 03:05:00,5396
2024-05-02 03:10:00,4986
2024-05-02 03:15:00,5653
2024-05-02 03:20:00,5808
2024-05-02 03:25:00,5773
2024-05-02 03:30:00,5558
2024-05-02 03:35:00,5931
2024-05-02 03:40:00,6047
2024-05-02 03:45:00,5444
2024-05-02 03:50:00,5127
2024-05-02 03:55:00,6072
2024-05-02 04:00:00,5441
2024-05-02 04:05:00,5438
2024-05-02 04:10:00,4857
2024-05-02 04:15:00,5100
2024-05-02 04:20:00,5991
2024-05-02 04:25:00,5521
2024-05-02 04:30:00,5216
2024-05-02 04:35:00,5988
2024-05-02 04:40:00,5530
2024-05-02 04:45:00,5731
2024-05-02 04:50:00,5750
2024-05-02 04:55:00,6055
2024-05-02 05:00:00,5519
2024-05-02 05:05:00,5985
2024-05-02 05:10:00,5569
2024-05-02 05:15:00,6215
2024-05-02 05:20:00,5405
2024-05-02 05:25:00,6489
2024-05-02 05:30:00,5839
2024-05-02 05:35:00,5318
2024-05-02 05:40:00,5890
2024-05-02 05:45:00,5621
2024-05-02 05:50:00,6384
2024-05-02 05:55:00,5879
2024-05-02 06:00:00,6025
2024-05-02 06:05:00,5881
2024-05-02 06:10:00,6738
2024-05-02 06:15:00,6553
2024-05-02 06:20:00,5807
2024-05-02 06:25:00,7047
2024-05-02 06:30:00,6294
2024-05-02 06:35:00,5490
2024-05-02 06:40:00,6053
2024-05-02 06:45:00,5336
2024-05-02 06:50:00,6357
2024-05-02 06:55:00,5739
2024-05-02 07:00:00,5839
2024-05-02 07:05:00,6406
2024-05-02 07:10:00,5577
2024-05-02 07:15:00,6113
2024-05-02 07:20:00,5595
2024-05-02 07:25:00,5378
2024-05-02 07:30:00,5731
2024-05-02 07:35:00,5306
2024-05-02 07:40:00,5841
2024-05-02 07:45:00,6137
2024-05-02 07:50:00,6706
2024-05-02 07:55:00,4950
2024-05-02 08:00:00,5363
2024-05-02 08:05:00,5965
2024-05-02 08:10:00,4868
2024-05-02 08:15:00,5873
2024-05-02 08:20:00,5194
2024-05-02 08:25:00,4887
2024-05-02 08:30:00,5822
2024-05-02 08:35:00,5483
2024-05-02 08:40:00,4794
2024-05-02 08:45:00,5651
2024-05-02 08:50:00,6027
2024-05-02 08:55:00,4371
2024-05-02 09:00:00,4950
2024-05-02 09:05:00,5570
2024-05-02 09:10:00,5632
2024-05-02 09:15:00,5253
2024-05-02 09:20:00,5044
2024-05-02 09:25:00,4747
2024-05-02 09:30:00,5429
2024-05-02 09:35:00,5685
2024-05-02 09:40:00,4875
2024-05-02 09:45:00,3838
2024-05-02 09:50:00,4789
2024-05-02 09:55:00,4816
2024-05-02 10:00:00,5507
2024-05-02 10:05:00,4579
2024-05-02 10:10:00,4839
2024-05-02 10:15:00,4304
2024-05-02 10:20:00,4503
2024-05-02 10:25:00,4977
2024-05-02 10:30:00,4853
2024-05-02 10:35:00,5906
2024-05-02 10:40:00,4596
2024-05-02 10:45:00,4633
2024-05-02 10:50:00,3725
2024-05-02 10:55:00,3296
2024-05-02 11:00:00,4862
2024-05-02 11:05:00,4666
2024-05-02 11:10:00,3535
2024-05-02 11:15:00,4385
2024-05-02 11:20:00,3840
2024-05-02 11:25:00,4921
2024-05-02 11:30:00,3639
2024-05-02 11:35:00,3712
2024-05-02 11:40:00,3876
2024-05-02 11:45:00,4072
2024-05-02 11:50:00,3658
2024-05-02 11:55:00,3733
2024-05-02 12:00:00,4220
2024-05-02 12:05:00,4307
2024-05-02 12:10:00,3959
2024-05-02 12:15:00,4020
2024-05-02 12:20:00,2548
2024-05-02 12:25:00,3552
2024-05-02 12:30:00,3000
2024-05-02 12:35:00,3181
2024-05-02 12:40:00,3503
2024-05-02 12:45:00,3788
2024-05-02 12:50:00,3574
2024-05-02 12:55:00,3524
2024-05-02 13:00:00,4082
2024-05-02 13:05:00,2793
2024-05-02 13:10:00,3525
2024-05-02 13:15:00,3208
2024-05-02 13:20:00,2866
2024-05-02 13:25:00,3497
2024-05-02 13:30:00,2333
2024-05-02 13:35:00,4039
2024-05-02 13:40:00,3127
2024-05-02 13:45:00,2604
2024-05-02 13:50:00,2920
2024-05-02 13:55:00,2584
2024-05-02 14:00:00,2533
2024-05-02 14:05:00,2718
2024-05-02 14:10:00,2570
2024-05-02 14:15:00,2369
2024-05-02 14:20:00,2447
2024-05-02 14:25:00,2811
2024-05-02 14:30:00,2675
2024-05-02 14:35:00,2332
2024-05-02 14:40:00,2567
2024-05-02 14:45:00,1946
2024-05-02 14:50:00,3233
2024-05-02 14:55:00,2065
2024-05-02 15:00:00,3566
2024-05-02 15:05:00,2408
2024-05-02 15:10:00,2522
2024-05-02 15:15:00,3089
2024-05-02 15:20:00,1320
2024-05-02 15:25:00,1884
2024-05-02 15:30:00,2722
2024-05-02 15:35:00,2141
2024-05-02 15:40:00,1972
2024-05-02 15:45:00,2332
2024-05-02 15:50:00,2397
2024-05-02 15:55:00,3001
2024-05-02 16:00:00,2018
2024-05-02 16:05:00,1752
2024-05-02 16:10:00,2620
2024-05-02 16:15:00,2373
2024-05-02 16:20:00,1689
2024-05-02 16:25:00,2730
2024-05-02 16:30:00,1872
2024-05-02 16:35:00,1959
2024-05-02 16:40:00,1836
2024-05-02 16:45:00,2055
2024-05-02 16:50:00,2490
2024-05-02 16:55:00,2377
2024-05-02 17:00:00,2102
2024-05-02 17:05:00,2043
2024-05-02 17:10:00,1333
2024-05-02 17:15:00,1854
2024-05-02 17:20:00,1023
2024-05-02 17:25:00,1645
2024-05-02 17:30:00,2774
2024-05-02 17:35:00,2345
2024-05-02 17:40:00,1850
2024-05-02 17:45:00,2048
2024-05-02 17:50:00,2390
2024-05-02 17:55:00,1822
2024-05-02 18:00:00,1895
2024-05-02 18:05:00,2062
2024-05-02 18:10:00,1417
2024-05-02 18:15:00,2957
2024-05-02 18:20:00,2407
2024-05-02 18:25:00,2562
2024-05-02 18:30:00,1880
2024-05-02 18:35:00,1653
2024-05-02 18:40:00,1646
2024-05-02 18:45:00,1639
2024-05-02 18:50:00,1291
2024-05-02 18:55:00,2197
2024-05-02 19:00:00,2610
2024-05-02 19:05:00,2857
2024-05-02 19:10:00,1652
2024-05-02 19:15:00,2092
2024-05-02 19:20:00,2032
2024-05-02 19:25:00,1756
2024-05-02 19:30:00,2801
2024-05-02 19:35:00,1660
2024-05-02 19:40:00,2289
2024-05-02 19:45:00,2270
2024-05-02 19:50:00,1692
2024-05-02 19:55:00,2349
2024-05-02 20:00:00,1931
2024-05-02 20:05:00,2036
2024-05-02 20:10:00,2655
2024-05-02 20:15:00,1855
2024-05-02 20:20:00,2719
2024-05-02 20:25:00,2193
2024-05-02 20:30:00,2544
2024-05-02 20:35:00,3018
2024-05-02 20:40:00,2417
2024-05-02 20:45:00,2784
2024-05-02 20:50:00,1898
2024-05-02 20:55:00,2830
2024-05-02 21:00:00,2964
2024-05-02 21:05:00,2508
2024-05-02 21:10:00,3148
2024-05-02 21:15:00,3399
2024-05-02 21:20:00,2432
2024-05-02 21:25:00,3253
2024-05-02 21:30:00,2456
2024-05-02 21:35:00,2647
2024-05-02 21:40:00,3256
2024-05-02 21:45:00,1868
2024-05-02 21:50:00,3802
2024-05-02 21:55:00,3809
2024-05-02 22:00:00,3714
2024-05-02 22:05:00,3295
2024-05-02 22:10:00,3125
2024-05-02 22:15:00,2637
2024-05-02 22:20:00,3255
2024-05-02 22:25:00,3582
2024-05-02 22:30:00,3219
2024-05-02 22:35:00,2938
2024-05-02 22:40:00,3205
2024-05-02 22:45:00,3770
2024-05-02 22:50:00,3839
2024-05-02 22:55:00,3185
2024-05-02 23:00:00,2656
2024-05-02 23:05:00,3623
2024-05-02 23:10:00,3639
2024-05-02 23:15:00,3601
2024-05-02 23:20:00,2950
2024-05-02 23:25:00,4488
2024-05-02 23:30:00,2293
2024-05-02 23:35:00,3646
2024-05-02 23:40:00,4513
2024-05-02 23:45:00,4333
2024-05-02 23:50:00,5120
2024-05-02 23:55:00,4039
2024-05-03 00:00:00,5927
2024-05-03 00:05:00,5707
2024-05-03 00:10:00,5029
2024-05-03 00:15:00,5009
2024-05-03 00:20:00,5015
2024-05-03 00:25:00,5098
2024-05-03 00:30:00,5379
2024-05-03 00:35:00,6274
2024-05-03 00:40:00,4499
2024-05-03 00:45:00,4537
2024-05-03 00:50:00,5359
2024-05-03 00:55:00,5219
2024-05-03 01:00:00,6106
2024-05-03 01:05:00,6126
2024-05-03 01:10:00,5501
2024-05-03 01:15:00,5892
2024-05-03 01:20:00,4838
2024-05-03 01:25:00,6325
2024-05-03 01:30:00,5823
2024-05-03 01:35:00,6089
2024-05-03 01:40:00,6717
2024-05-03 01:45:00,5896
2024-05-03 01:50:00,5322
2024-05-03 01:55:00,6490
2024-05-03 02:00:00,5638
2024-05-03 02:05:00,6842
2024-05-03 02:10:00,6468
2024-05-03 02:15:00,5781
2024-05-03 02:20:00,6138
2024-05-03 02:25:00,6925
2024-05-03 02:30:00,6396
2024-05-03 02:35:00,6572
2024-05-03 02:40:00,5662
2024-05-03 02:45:00,5717
2024-05-03 02:50:00,6968
2024-05-03 02:55:00,6230
2024-05-03 03:00:00,5669
2024-05-03 03:05:00,6963
2024-05-03 03:10:00,6002
2024-05-03 03:15:00,5917
2024-05-03 03:20:00,6695
2024-05-03 03:25:00,6667
2024-05-03 03:30:00,6918
2024-05-03 03:35:00,6805
2024-05-03 03:40:00,7163
2024-05-03 03:45:00,7056
2024-05-03 03:50:00,8149
2024-05-03 03:55:00,6547
2024-05-03 04:00:00,6915
2024-05-03 04:05:00,6276
2024-05-03 04:10:00,6899
2024-05-03 04:15:00,7465
2024-05-03 04:20:00,7003
2024-05-03 04:25:00,7385
2024-05-03 04:30:00,6844
2024-05-03 04:35:00,7065
2024-05-03 04:40:00,6814
2024-05-03 04:45:00,6519
2024-05-03 04:50:00,7158
2024-05-03 04:55:00,6892
2024-05-03 05:00:00,7574
2024-05-03 05:05:00,7293
2024-05-03 05:10:00,7086
2024-05-03 05:15:00,7355
2024-05-03 05:20:00,7252
2024-05-03 05:25:00,7236
2024-05-03 05:30:00,7567
2024-05-03 05:35:00,6976
2024-05-03 05:40:00,8056
2024-05-03 05:45:00,7355
2024-05-03 05:50:00,7012
2024-05-03 05:55:00,6463
2024-05-03 06:00:00,6659
2024-05-03 06:05:00,6650
2024-05-03 06:10:00,6623
2024-05-03 06:15:00,7096
2024-05-03 06:20:00,6330
2024-05-03 06:25:00,7052
2024-05-03 06:30:00,6635
2024-05-03 06:35:00,6449
2024-05-03 06:40:00,6370
2024-05-03 06:45:00,6778
2024-05-03 06:50:00,6270
2024-05-03 06:55:00,7882
2024-05-03 07:00:00,7422
2024-05-03 07:05:00,7030
2024-05-03 07:10:00,7054
2024-05-03 07:15:00,6902
2024-05-03 07:20:00,7489
2024-05-03 07:25:00,8012
2024-05-03 07:30:00,7492
2024-05-03 07:35:00,6983
2024-05-03 07:40:00,6405
2024-05-03 07:45:00,7593
2024-05-03 07:50:00,7190
2024-05-03 07:55:00,6274
2024-05-03 08:00:00,6190
2024-05-03 08:05:00,6925
2024-05-03 08:10:00,6578
2024-05-03 08:15:00,6321
2024-05-03 08:20:00,7405
2024-05-03 08:25:00,6581
2024-05-03 08:30:00,6014
2024-05-03 08:35:00,6576
2024-05-03 08:40:00,6852
2024-05-03 08:45:00,6775
2024-05-03 08:50:00,6264
2024-05-03 08:55:00,6193
2024-05-03 09:00:00,7402
2024-05-03 09:05:00,6705
2024-05-03 09:10:00,6659
2024-05-03 09:15:00,6221
2024-05-03 09:20:00,6384
2024-05-03 09:25:00,6544
2024-05-03 09:30:00,6643
2024-05-03 09:35:00,4879
2024-05-03 09:40:00,5867
2024-05-03 09:45:00,6312
2024-05-03 09:50:00,6878
2024-05-03 09:55:00,6617
2024-05-03 10:00:00,6239
2024-05-03 10:05:00,5825
2024-05-03 10:10:00,6383
2024-05-03 10:15:00,6174
2024-05-03 10:20:00,6229
2024-05-03 10:25:00,6035
2024-05-03 10:30:00,6188
2024-05-03 10:35:00,5743
2024-05-03 10:40:00,5751
2024-05-03 10:45:00,6153
2024-05-03 10:50:00,6323
2024-05-03 10:55:00,5685
2024-05-03 11:00:00,5891
2024-05-03 11:05:00,5539
2024-05-03 11:10:00,5936
2024-05-03 11:15:00,5392
2024-05-03 11:20:00,5922
2024-05-03 11:25:00,4641
2024-05-03 11:30:00,5182
2024-05-03 11:35:00,4532
2024-05-03 11:40:00,5063
2024-05-03 11:45:00,5680
2024-05-03 11:50:00,4786
2024-05-03 11:55:00,5287
2024-05-03 12:00:00,5440
2024-05-03 12:05:00,5721
2024-05-03 12:10:00,4472
2024-05-03 12:15:00,5067
2024-05-03 12:20:00,5829
2024-05-03 12:25:00,5809
2024-05-03 12:30:00,5386
2024-05-03 12:35:00,4531
2024-05-03 12:40:00,4604
2024-05-03 12:45:00,4681
2024-05-03 12:50:00,5456
2024-05-03 12:55:00,3735
2024-05-03 13:00:00,5210
2024-05-03 13:05:00,4447
2024-05-03 13:10:00,5225
2024-05-03 13:15:00,3956
2024-05-03 13:20:00,4522
2024-05-03 13:25:00,4346
2024-05-03 13:30:00,4906
2024-05-03 13:35:00,4193
2024-05-03 13:40:00,3732
2024-05-03 13:45:00,4378
2024-05-03 13:50:00,4331
2024-05-03 13:55:00,3658
2024-05-03 14:00:00,3143
2024-05-03 14:05:00,3901
2024-05-03 14:10:00,3841
2024-05-03 14:15:00,4030
2024-05-03 14:20:00,3712
2024-05-03 14:25:00,4060
2024-05-03 14:30:00,4300
2024-05-03 14:35:00,4418
2024-05-03 14:40:00,3176
2024-05-03 14:45:00,3886
2024-05-03 14:50:00,3773
2024-05-03 14:55:00,3352
2024-05-03 15:00:00,3878
2024-05-03 15:05:00,3042
2024-05-03 15:10:00,3496
2024-05-03 15:15:00,2899
2024-05-03 15:20:00,4295
2024-05-03 15:25:00,2969
2024-05-03 15:30:00,3490
2024-05-03 15:35:00,4621
2024-05-03 15:40:00,3652
2024-05-03 15:45:00,2729
2024-05-03 15:50:00,3199
2024-05-03 15:55:00,3157
2024-05-03 16:00:00,3685
2024-05-03 16:05:00,2864
2024-05-03 16:10:00,3274
2024-05-03 16:15:00,3070
2024-05-03 16:20:00,4025
2024-05-03 16:25:00,3803
2024-05-03 16:30:00,2819
2024-05-03 16:35:00,2896
2024-05-03 16:40:00,2973
2024-05-03 16:45:00,3418
2024-05-03 16:50:00,3020
2024-05-03 16:55:00,3888
2024-05-03 17:00:00,4046
2024-05-03 17:05:00,2531
2024-05-03 17:10:00,3136
2024-05-03 17:15:00,3599
2024-05-03 17:20:00,2950
2024-05-03 17:25:00,4211
2024-05-03 17:30:00,2949
2024-05-03 17:35:00,2546
2024-05-03 17:40:00,2611
2024-05-03 17:45:00,2853
2024-05-03 17:50:00,3740
2024-05-03 17:55:00,2971
2024-05-03 18:00:00,2859
2024-05-03 18:05:00,3826
2024-05-03 18:10:00,3415
2024-05-03 18:15:00,2480
2024-05-03 18:20:00,3151
2024-05-03 18:25:00,3292
2024-05-03 18:30:00,3372
2024-05-03 18:35:00,3145
2024-05-03 18:40:00,3095
2024-05-03 18:45:00,1791
2024-05-03 18:50:00,2592
2024-05-03 18:55:00,2974
2024-05-03 19:00:00,4054
2024-05-03 19:05:00,2770
2024-05-03 19:10:00,2811
2024-05-03 19:15:00,3063
2024-05-03 19:20:00,3133
2024-05-03 19:25:00,3452
2024-05-03 19:30:00,3159
2024-05-03 19:35:00,3016
2024-05-03 19:40:00,3225
2024-05-03 19:45:00,3552
2024-05-03 19:50:00,3524
2024-05-03 19:55:00,2458
2024-05-03 20:00:00,3984
2024-05-03 20:05:00,3303
2024-05-03 20:10:00,3783
2024-05-03 20:15:00,3187
2024-05-03 20:20:00,2973
2024-05-03 20:25:00,2797
2024-05-03 20:30:00,2344
2024-05-03 20:35:00,3942
2024-05-03 20:40:00,3644
2024-05-03 20:45:00,4273
2024-05-03 20:50:00,4413
2024-05-03 20:55:00,3111
2024-05-03 21:00:00,3888
2024-05-03 21:05:00,3218
2024-05-03 21:10:00,4462
2024-05-03 21:15:00,3580
2024-05-03 21:20:00,3722
2024-05-03 21:25:00,3556
2024-05-03 21:30:00,3140
2024-05-03 21:35:00,3374
2024-05-03 21:40:00,3948
2024-05-03 21:45:00,4467
2024-05-03 21:50:00,3883
2024-05-03 21:55:00,4445
2024-05-03 22:00:00,4359
2024-05-03 22:05:00,3931
2024-05-03 22:10:00,3534
2024-05-03 22:15:00,4620
2024-05-03 22:20:00,4107
2024-05-03 22:25:00,4706
2024-05-03 22:30:00,5041
2024-05-03 22:35:00,3974
2024-05-03 22:40:00,4510
2024-05-03 22:45:00,4410
2024-05-03 22:50:00,4590
2024-05-03 22:55:00,5301
2024-05-03 23:00:00,5238
2024-05-03 23:05:00,4060
2024-05-03 23:10:00,5020
2024-05-03 23:15:00,4873
2024-05-03 23:20:00,5148
2024-05-03 23:25:00,4859
2024-05-03 23:30:00,4989
2024-05-03 23:35:00,4099
2024-05-03 23:40:00,4906
2024-05-03 23:45:00,4856
2024-05-03 23:50:00,5748
2024-05-03 23:55:00,5070
2024-05-04 00:00:00,6407
2024-05-04 00:05:00,6788
2024-05-04 00:10:00,5974
2024-05-04 00:15:00,6808
2024-05-04 00:20:00,6414
2024-05-04 00:25:00,6246
2024-05-04 00:30:00,6448
2024-05-04 00:35:00,6285
2024-05-04 00:40:00,7001
2024-05-04 00:45:00,6287
