no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,season,ta,hr,va,date,time
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.44,10,0.12,1,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.18,10,0.96,1,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.5,10,1.08,1,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.94,10,1.2,1,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.84,10,1.08,1,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.01,10,0.0,1,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.5,10,0.96,1,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.71,10,0.6,1,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.85,10,0.48,1,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,21.38,10,1.2,1,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.5,10,0.96,1,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.1,10,0.24,1,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.26,10,0.24,1,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.73,10,0.12,1,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.5,10,0.36,1,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.29,10,0.72,1,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.15,10,0.12,1,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.62,10,0.0,1,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.5,10,0.24,1,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.92,10,0.72,1,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.58,10,1.2,1,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.52,10,1.08,1,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.5,10,0.6,1,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.36,10,0.12,1,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.29,10,1.08,1,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.88,10,0.72,1,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.5,10,0.48,1,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.22,10,0.12,1,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.64,10,0.48,1,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.63,10,0.0,1,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.0,10,0.24,2,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.6,10,0.36,2,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.6,10,0.36,2,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.86,10,0.24,2,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.0,10,1.08,2,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.17,10,0.0,2,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.5,10,0.36,2,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.4,10,0.96,2,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.0,10,1.2,2,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.76,10,0.96,2,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.89,10,0.24,2,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.45,10,0.48,2,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.0,10,0.24,2,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.05,10,0.24,2,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.34,10,0.84,2,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.88,10,0.36,2,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,21.0,10,0.96,2,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,21.45,10,0.6,2,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,21.33,10,0.48,2,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,21.43,10,0.84,2,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.0,10,0.36,2,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.03,10,0.12,2,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.68,10,1.08,2,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.8,10,0.72,2,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.0,10,0.84,2,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.92,10,0.48,2,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.32,10,0.72,2,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.03,10,0.48,2,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,21.0,10,1.2,2,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,21.06,10,1.2,2,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,21.72,10,1.2,2,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,21.09,10,0.72,2,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.0,10,1.08,2,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.11,10,0.12,2,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.55,10,0.6,2,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.74,10,1.08,2,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.0,10,0.24,2,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.92,10,0.12,2,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.67,10,0.72,2,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.45,10,0.6,2,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.5,10,0.6,3,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,22.11,10,0.24,3,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.93,10,0.12,3,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.71,10,0.36,3,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.5,10,0.48,3,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.22,10,0.24,3,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.46,10,0.72,3,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.02,10,0.72,3,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.5,10,0.12,3,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.25,10,0.72,3,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.02,10,0.96,3,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.83,10,0.96,3,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.5,10,1.2,3,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.73,10,0.12,3,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,21.63,10,0.12,3,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,22.09,10,0.48,3,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,21.5,10,0.12,3,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.16,10,0.72,3,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.38,10,0.6,3,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,21.66,10,0.36,3,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.5,10,0.36,3,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.59,10,0.84,3,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.85,10,0.24,3,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,21.68,10,0.96,3,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.5,10,0.24,3,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,22.11,10,0.12,3,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,21.8,10,0.72,3,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,22.35,10,0.36,3,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,21.5,10,0.6,3,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.0,10,0.96,3,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,21.54,10,0.96,3,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,21.57,10,0.84,3,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.5,10,1.08,3,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,22.1,10,0.96,3,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.98,10,0.72,3,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,21.99,10,0.24,3,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.5,10,0.0,3,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,22.48,10,0.36,3,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.86,10,0.84,3,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,21.51,10,0.0,3,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,22.0,10,0.96,4,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,22.21,10,0.0,4,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,22.18,10,0.6,4,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,22.27,10,0.48,4,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.0,10,0.24,4,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.28,10,0.36,4,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.53,10,0.0,4,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.19,10,0.36,4,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.0,10,0.6,4,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.65,10,0.96,4,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.83,10,0.24,4,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.93,10,0.12,4,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,22.0,10,0.12,4,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,22.81,10,0.96,4,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,22.67,10,0.36,4,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,22.91,10,0.72,4,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.0,10,0.48,4,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.93,10,0.6,4,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.86,10,0.84,4,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.21,10,0.36,4,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,22.0,10,0.96,4,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,22.47,10,0.48,4,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,22.11,10,1.08,4,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,22.13,10,1.2,4,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,22.0,10,0.72,4,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,22.93,10,0.84,4,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,22.37,10,0.12,4,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,22.57,10,0.12,4,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.0,10,0.96,4,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.43,10,0.6,4,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.44,10,0.6,4,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.1,10,1.08,4,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,22.0,10,1.2,4,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,22.32,10,0.0,4,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,22.91,10,0.84,4,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,22.25,10,0.24,4,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,22.0,10,0.84,4,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,22.03,10,0.36,4,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,22.58,10,0.48,4,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,22.96,10,0.96,4,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,22.5,10,1.08,5,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,23.17,10,0.96,5,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,23.24,10,0.48,5,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,23.18,10,1.08,5,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.5,10,0.0,5,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,22.89,10,0.84,5,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,23.03,10,0.72,5,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,23.37,10,1.2,5,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.5,10,0.0,5,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.69,10,0.36,5,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,23.48,10,0.36,5,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,22.63,10,0.24,5,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,22.5,10,1.08,5,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,23.03,10,1.2,5,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,23.04,10,0.72,5,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,23.07,10,1.08,5,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.5,10,0.36,5,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,23.22,10,0.24,5,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,23.33,10,0.36,5,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,22.74,10,0.48,5,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,22.5,10,0.96,5,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,23.17,10,0.84,5,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,22.61,10,0.96,5,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,23.46,10,1.08,5,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,22.5,10,0.96,5,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,23.18,10,0.6,5,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,23.42,10,1.2,5,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,23.17,10,0.0,5,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.5,10,0.24,5,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.6,10,0.96,5,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,23.22,10,1.08,5,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,22.52,10,1.2,5,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,22.5,10,0.12,5,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,23.14,10,0.72,5,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,23.04,10,0.0,5,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,23.4,10,0.6,5,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,22.5,10,0.84,5,0
