season,ta,hr,va
0.0,28.0,59,0.84
0.0,28.5,59,0.6
0.0,29.0,59,1.08
0.0,29.5,59,0.72
0.0,22.0,60,0.48
0.0,22.5,60,0.48
0.0,23.0,60,0.6
0.0,23.5,60,0.12
0.0,24.0,60,0.96
0.0,24.5,60,0.6
0.0,25.0,60,0.24
0.0,25.5,60,0.48
0.0,26.0,60,0.84
0.0,26.5,60,0.36
0.0,27.0,60,1.08
0.0,27.5,60,0.72
0.0,28.0,60,0.96
0.0,28.5,60,0.12
0.0,29.0,60,0.24
0.0,29.5,60,0.24
0.0,22.0,61,1.08
0.0,22.5,61,0.96
0.0,23.0,61,0.48
0.0,23.5,61,1.08
0.0,24.0,61,0.48
0.0,24.5,61,0.96
0.0,25.0,61,0.84
0.0,25.5,61,0.6
0.0,26.0,61,0.12
0.0,26.5,61,0.0
0.0,27.0,61,0.12
0.0,27.5,61,0.6
0.0,28.0,61,0.72
0.0,28.5,61,0.84
0.0,29.0,61,0.0
0.0,29.5,61,0.12
0.0,22.0,62,0.48
0.0,22.5,62,0.84
0.0,23.0,62,0.96
0.0,23.5,62,0.6
0.0,24.0,62,0.36
0.0,24.5,62,0.6
0.0,25.0,62,0.12
0.0,25.5,62,0.72
0.0,26.0,62,0.48
0.0,26.5,62,0.72
0.0,27.0,62,0.84
0.0,27.5,62,0.24
0.0,28.0,62,0.48
0.0,28.5,62,0.6
0.0,29.0,62,0.84
0.0,29.5,62,1.08
0.0,22.0,63,1.2
0.0,22.5,63,0.0
0.0,23.0,63,0.72
0.0,23.5,63,0.12
0.0,24.0,63,0.72
0.0,24.5,63,1.2
0.0,25.0,63,0.6
0.0,25.5,63,0.84
0.0,26.0,63,0.24
0.0,26.5,63,0.48
0.0,27.0,63,1.08
0.0,27.5,63,0.36
0.0,28.0,63,0.6
0.0,28.5,63,0.72
0.0,29.0,63,0.24
0.0,29.5,63,0.84
0.0,22.0,64,0.72
0.0,22.5,64,0.12
0.0,23.0,64,0.48
0.0,23.5,64,0.36
0.0,24.0,64,0.12
0.0,24.5,64,1.08
0.0,25.0,64,0.84
0.0,25.5,64,0.24
0.0,26.0,64,0.84
0.0,26.5,64,0.96
0.0,27.0,64,0.12
0.0,27.5,64,0.24
0.0,28.0,64,0.96
0.0,28.5,64,0.0
0.0,29.0,64,0.36
0.0,29.5,64,0.84
0.0,22.0,65,0.96
0.0,22.5,65,0.24
0.0,23.0,65,0.6
0.0,23.5,65,0.24
0.0,24.0,65,0.84
0.0,24.5,65,0.6
0.0,25.0,65,1.08
0.0,25.5,65,1.08
0.0,26.0,65,1.08
0.0,26.5,65,0.96
0.0,27.0,65,0.24
0.0,27.5,65,0.84
0.0,28.0,65,0.84
0.0,28.5,65,0.96
0.0,29.0,65,1.08
0.0,29.5,65,1.2
0.0,22.0,66,0.72
0.0,22.5,66,0.84
0.0,23.0,66,0.12
0.0,23.5,66,1.08
0.0,24.0,66,0.72
0.0,24.5,66,0.12
0.0,25.0,66,0.36
0.0,25.5,66,0.12
0.0,26.0,66,1.08
0.0,26.5,66,0.6
0.0,27.0,66,0.72
0.0,27.5,66,0.12
0.0,28.0,66,0.36
0.0,28.5,66,0.72
0.0,29.0,66,1.08
0.0,29.5,66,0.36
0.0,22.0,67,0.84
0.0,22.5,67,0.84
0.0,23.0,67,0.84
0.0,23.5,67,0.24
0.0,24.0,67,0.36
0.0,24.5,67,0.12
0.0,25.0,67,0.48
0.0,25.5,67,0.24
0.0,26.0,67,1.08
0.0,26.5,67,0.24
0.0,27.0,67,0.12
0.0,27.5,67,0.12
0.0,28.0,67,0.36
0.0,28.5,67,1.08
0.0,29.0,67,0.12
0.0,29.5,67,1.08
0.0,22.0,68,0.24
0.0,22.5,68,1.08
0.0,23.0,68,0.36
0.0,23.5,68,0.36
0.0,24.0,68,0.6
0.0,24.5,68,0.48
0.0,25.0,68,0.72
0.0,25.5,68,0.0
0.0,26.0,68,1.08
0.0,26.5,68,0.72
0.0,27.0,68,0.96
0.0,27.5,68,1.08
0.0,28.0,68,0.12
0.0,28.5,68,0.84
0.0,29.0,68,0.84
0.0,29.5,68,0.72
0.0,22.0,69,0.24
0.0,22.5,69,0.72
0.0,23.0,69,1.08
0.0,23.5,69,0.96
0.0,24.0,69,0.48
0.0,24.5,69,0.24
0.0,25.0,69,0.0
0.0,25.5,69,0.24
0.0,26.0,69,0.12
0.0,26.5,69,0.0
0.0,27.0,69,0.48
0.0,27.5,69,1.08
0.0,28.0,69,1.08
0.0,28.5,69,0.0
0.0,29.0,69,0.6
0.0,29.5,69,0.48
0.0,22.0,70,0.96
0.0,22.5,70,0.96
0.0,23.0,70,0.84
0.0,23.5,70,0.48
0.0,24.0,70,0.48
0.0,24.5,70,0.72
0.0,25.0,70,0.48
0.0,25.5,70,0.24
0.0,26.0,70,0.84
0.0,26.5,70,0.72
0.0,27.0,70,0.96
0.0,27.5,70,0.72
0.0,28.0,70,0.48
0.0,28.5,70,0.96
0.0,29.0,70,1.2
0.0,29.5,70,1.08
